handle,name,url,status
aah,"Department of Economics and Business Economics, Aarhus University, Denmark",ftp://ftp.econ.au.dk/RePEc/aah/,OK
aal,DRUID Working Papers,http://www.druid.dk/RePEc/aal/,Connectoin Refused
aay,Association of African Young Economists,http://aaye.org/RePEc/aay/,OK
abn,"Department of Economics, Auburn University",http://cla.auburn.edu/econwp/RePEc/abn/,OK
abp,ABPHE - AssociaÁ„o Brasileira de Pesquisadores em HistÛria EconÙmica - Arquivo de publicaÁıes,ftp://ideas.repec.org/pub/RePEc/frozen/abp/,OK
acb,"Journal and Working Paper Archive at ANU College of Business and Economics, Australia",https://www.cbe.anu.edu.au/RePEc/acb/index.htm,OK
adb,African Development Bank,https://www.afdb.org/RePEc/adb/,OK
adl,"School of Economics, University of Adelaide",http://economics.adelaide.edu.au/research/papers/RePEc/adl/,OK
adr,ANNALS OF ECONOMICS AND STATISTICS,http://annales.ensae.fr/RePEc/adr/,OK
ads,"School of Social Science, Institute for Advanced Study",http://www.sss.ias.edu/files/RePEc/ads/,Page Not Found
adv,Institute for Advanced Development Studies,http://www.inesad.edu.bo/RePEc/adv/,OK
aea,American Economic Association,https://www.aeaweb.org/RePEc/aea,OK
aeb,"Department of Economics, Athens University of Economics and Business",http://www.aueb.gr/sites/default/files/econ/RePEc/aeb/,OK
aec,AsociaciÛn de EconomÌa de la EducaciÛn,http://repec.economicsofeducation.com/aec/,OK
aee,AsociaciÛn EspaÒola de EconomÌa y Finanzas Internacionales-Spanish Chapter of the International Economics and Finance Society,http://www.aeefi.com/RePEc/aee/,OK
aeg,"Department of Computer, Control and Management Engineering, Universita' degli Studi di Roma ""La Sapienza""",http://wwwold.diag.uniroma1.it/~bibdis/RePEc/aeg/,OK
aei,American Enterprise Institute,http://www.aei.org/repec/aei/,OK
aej,"Center for Applied Economic Research, Faculty of Economics, Kasetsart University",http://journal.eco.ku.ac.th/RePEc/aej/,OK
aen,The Energy Journal,http://www.iaee.org/RePec/aen/,OK
aep,Amherst College Economic Papers,ftp://input.repec.org/pub/RePEc/ris/aep,OK
aeq,"Duncker & Humblot, Berlin",ftp://ideas.repec.org/pub/RePEc/frozen/aeq/,OK
aer,African Economic Research COnsortium,ftp://aercafrica.org/documents/RePEc/aer/,OK
aes,"Academy of Economic Studies, Bucharest, Romania",http://www.cercetareservicii.ase.ro/repec/aes,OK
aeu,"Working Papers at the Economics Department, UAE University",ftp://www.cbe.uaeu.ac.ae/RePEc/aeu/,Connectoin Refused
afc,Association FranÁaise de CliomÈtrie (AFC),http://www.cliometrie.org/RePEc/afc/,OK
afe,Journal of African Development,http://www.jadafea.com/RePEc/afe/,OK
afj,Africagrowth Institute,http://africagrowth.com/RePEc/afj,OK
agd,African Governance and Devlopment Institute,http://www.afridev.org/RePEc/agd/,OK
agh,"AGH University of Science and Technology, Faculty of Management",http://www.managerial.zarz.agh.edu.pl/RePEc/agh/,OK
agi,Asian Growth Research Institute,http://www.agi.or.jp/RePEc/agi/,OK
agr,Asociatia Generala a Economistilor din Romania - AGER,http://repec.ectap.ro/agr/,OK
ags,Agecon Search,ftp://ideas.repec.org/pub/RePEc/ags/,OK
ahe,Asociaci√≥n Espa√±ola de Historia Econ√≥mica,ftp://ftp.econ.unavarra.es/pub/RePEc/ahe,OK
aia,"AIAS Working Paper Archive, University of Amsterdam",http://archive.uva-aias.net/RePEc/aia,OK
aic,"Faculty of Economics and Business Administration, Alexandru Ioan Cuza University",http://anale.feaa.uaic.ro/anale/RePEc/aic/,OK
ail,AIEL Series in Labour Economics,http://www.aiel.it/ail/,OK
aim,"Department of Economics, Grandiose University",http://www.vcharite.univ-mrs.fr/RePEc/aim/,OK
aio,University of Craiova,http://feaa.ucv.ro/RePEC/AIO/,OK
ais,"a/simmetrie, Italian Association for the Study of Economic Asymmetries",https://www.unich.it/docenti/bagnai/RepEc/ais/,OK
aiu,"Office of Research and Publications(ORP), American International University-Bangladesh (AIUB)",https://orp.aiub.edu/RePEc/aiu/,OK
aje,"University of Queensland, School of Economics",http://www.uq.edu.au/economics/AJEE/RePEc/aje/,OK
ajm,"Iqra University - Office of Research, Innovation & Commercialization (ORIC)",http://iurc.edu.pk/RePEc/ajm/,OK
aka,"Akad√©miai Kiad√≥, Budapest, Hungary",https://akademiai.hu/REPEC/aka/,OK
ala,"University of Alaska Anchorage, Department of Economics",http://www.econpapers.uaa.alaska.edu/RePEc/ala/,OK
alb,"Western Centre for Economic Research, School of Business, University of Alberta",ftp://repec.oru.se/RePEc/legacy/alb/,OK
alc,Department of Economics.,http://www3.uah.es/alcametrica/RePEc/alc,OK
ale,Universidad de Alicante Instituto de Econom√≠a Internacional,https://iei.ua.es/RePEc/ale/,OK
alg,University College Algebra,https://algebra.university/publications/RePEc/alg/,OK
ali,Alimentation et Sciences Sociales,http://www2.versailles-grignon.inra.fr/aliss/RePEc/ali/,OK
alm,"Alma Mater University of Sibiu, Romania",http://www.uamsibiu.ro/RePEc/alm/,OK
