handle,maintainer-email,name,provider-homepage,provider-institution,provider-name,template-type
RePEc:aah:create,msommer@econ.au.dk,CREATES Research Papers,http://www.econ.au.dk/afn/,,"Department of Economics and Business Economics, Aarhus University",ReDIF-Series 1.0
RePEc:aal:glothr,lema@business.aau.dk,Globelics Thematic Reviews,http://www.globelics.org/,RePEc:edi:globeea,"Globelics - Global Network for Economics of Learning, Innovation, and Competence Building Systems, Aalborg University, Department of Business and Management",ReDIF-Series 1.0
RePEc:aay:journl,info@aaye.org,Journal of Global Finance,http://www.aaye.org/,RePEc:edi:aayeeea,Association of African Young Economists,ReDIF-Series 1.0
RePEc:abn:wpaper,gmmkim@gmail.com,Auburn Economics Working Paper Series,http://cla.auburn.edu/economics/,RePEc:edi:deaubus,"Department of Economics, Auburn University",ReDIF-Series 1.0
RePEc:abp:hehehe,hugo@cedeplar.ufmg.br,HistÛria EconÙmica & HistÛria de Empresas,http://www.abphe.org.br,RePEc:edi:abpheea,ABPHE,ReDIF-Series 1.0
RePEc:acb:agenda,web.cbe@anu.edu.au,Agenda - A Journal of Policy Analysis and Reform,http://rse.anu.edu.au/,RePEc:edi:feanuau,"Australian National University, College of Business and Economics, School of Economics",ReDIF-Series 1.0
RePEc:adb:adbssc,k.l.kouakou@afdb.org,Selected Statistics on African Countries,https://www.afdb.org/en/knowledge/publications/,RePEc:edi:afdbgci,African Development Bank,ReDIF-Series 1.0
RePEc:adl:winewp,kym.anderson@adelaide.edu.au,Wine Economics Research Centre Working Papers,http://www.adelaide.edu.au/wine-econ/,RePEc:edi:decadau,"University of Adelaide, Wine Economics Research Centre",ReDIF-Series 1.0
RePEc:adr:anecst,Laurent.Linnemer@ensae.fr,Annals of Economics and Statistics,https://annals.ensae.fr/,RePEc:edi:ensaefr,GENES,ReDIF-Series 1.0
RePEc:ads:wpaper,econwp@ias.edu,Economics Working Papers,http://www.sss.ias.edu/,RePEc:edi:ssiasus,"Institute for Advanced Study, School of Social Science",ReDIF-Series 1.0
RePEc:adv:chaptr,landersen@inesad.edu.bo,INESAD book chapters,http://www.inesad.edu.bo/,RePEc:edi:inesabo,Institute for Advanced Development Studies,ReDIF-Series 1.0
RePEc:aea:aejmic,mpa@aeapubs.org,American Economic Journal: Microeconomics,https://www.aeaweb.org/aej-micro,RePEc:edi:aeaaaea,American Economic Association,ReDIF-Series 1.0
RePEc:aeb:wpaper,tvolikas@aueb.gr,Working Papers,http://www.aueb.gr/el/school_of_economics/econ,RePEc:edi:auebugr,"Athens University Of Economics and Business, Department of Economics",ReDIF-Series 1.0
RePEc:aec:ieed11,dpxe@unizar.es,Investigaciones de EconomÌa de la EducaciÛn volume 11,http://www.economicsofeducation.com,RePEc:edi:aedeeea,AsociaciÛn de EconomÌa de la EducaciÛn,ReDIF-Series 1.0
RePEc:aee:wpaper,jtorres@uma.es,Working Papers,http://www.aeefi.com,RePEc:edi:aeefiea,AsociaciÛn EspaÒola de EconomÌa y Finanzas Internacionales,ReDIF-Series 1.0
RePEc:aeg:wpaper,antonietta.zucconi@uniroma1.it,DIS Technical Reports,http://www.dis.uniroma1.it,RePEc:edi:dirosit,"Department of Computer, Control and Management Engineering, Universita' degli Studi di Roma ""La Sapienza""",ReDIF-Series 1.0
RePEc:aei:journl,Administrative.Contact@AEI.org,AEI Economic Perspectives,http://www.aei.org,RePEc:edi:aeiiius,American Enterprise Institute,ReDIF-Series 1.0
RePEc:aej:apecjn,aej.journal@gmail.com,Applied Economics Journal,http://journal.eco.ku.ac.th/,RePEc:edi:feckuth,"Kasetsart University, Faculty of Economics, Center for Applied Economic Research",ReDIF-Series 1.0
RePEc:aen:eeepjl,iaee@iaee.org,Economics of Energy & Environmental Policy,http://www.iaee.org,RePEc:edi:iaeeeea,International Association for Energy Economics,ReDIF-Series 1.0
RePEc:aep:acewpa,dpbarbezat@amherst.edu,Amherst Economic Papers,http://www.amherst.edu/~econ,RePEc:edi:edamhus,"Amherst College, Department of Economics",ReDIF-Series 1.0
RePEc:aeq:aeqsjb,schmollers_jahrbuch@diw.de,Schmollers Jahrbuch : Journal of Applied Social Science Studies / Zeitschrift f¸r Wirtschafts- und Sozialwissenschaften,http://www.duncker-humblot.de,,"Duncker & Humblot, Berlin",ReDIF-Series 1.0
RePEc:aer:rpaper,Steven.Kinuthia@aercafrica.org,Research Papers,http://www.aercafrica.org,RePEc:edi:aerccke,African Economic Research Consortium,ReDIF-Series 1.0
